ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
B004ZY34NC,A4IL0CLL27Q33,D. Brennan,0,0,1,2012-10-26,Buyer beware,"Nespresso makes GREAT coffee and GREAT machines. I switched over to a Nespresso machine 7 years ago and have never looked back. I save a small fortune every year by making my lattes at home.<br /><br />That being said, the Nespresso capsule offers posted here are from a third party who is putting a large additional margin on their price.<br /><br />You can order the same products online from Nespresso for approx $0.55 each (half the price here)."
B005YYFHCS,A3JU9QO1PGO5OS,Michelle Goldbeck,1,3,1,2012-06-05,Ewww,"I'm so sad because I REALLY wanted these to be good.  They're not.  Seriously, don't waste your money thinking you'll enjoy one of them, as they ALL have the same terrible aftertaste."
B005K4Q34S,A1VYJWCNH20OFB,"Deneen Reiner ""Deneen""",2,2,1,2011-12-27,Horrible!!!  Just Horrible!!!,"If you drink coffee... don't buy this crap, watery flavored who knows what!  I don't think it is coffee at all...  Maybe a hot drink for teens graduating from hot chocolate, this stuff is really sweet too.  Seriously a waste of money!"
B0018Q1G94,A1VNODXGJ7N1PZ,Aaron Thomas,1,1,1,2012-02-22,Fraudulent claims,"I did my own test on this, and for me at least, it spiked my blood sugar almost identically to regular pasta.  That is with cooking it to the exact time on the box, with the exact tiny portion size.  This is indeed a case of- if it tastes too good to be true it probably is."
B001TLY7A8,AZG7B6OAEZV8I,sera28,1,4,1,2011-10-04,cats won't eat it,Not sure what it is - but our cats won't touch the stuff. They do tend to like seafood more - so maybe that's what it is. We have to mix it with tuna for them to eat it.
B0006VSXBG,A3QA0BBQW08DLZ,"Mc ""m0c21""",0,0,1,2012-09-06,Mold?,"Ingredients and reviews look good. However, this is the first time I've ever found mold in my dog food. I have a specific container that I put my dog food in so it doesn't get any moisture. It's even air tight. This could be the best dog food out there, but if the quality control is bad, I won't be buying it. I'll add pictures of the mold or whatever is growing on the dog food."
B004AFGES8,A3499OTKV300DC,L,0,0,1,2012-06-03,Read Label,I wish Amazon would include a list of ingredients on baby food in bulk. This has cream in it and my baby has a cow's milk intolerance. I had already opened the jar when I read the ingredients and now I'm stuck with 15 jars of food I can't use. So disappointing.
B0001YYP10,A27CJXDIZSQ79P,"JOANN, Temple Hills, MD",13,17,1,2010-09-19,THIS PRODUCT IS A FRAUD!!!,"I ordered this SO CALLED Honey Powder from BARRY FARMS ~ it is a FRAUD !! It is not HONEY POWDER.  It is<br />WHEAT with something else mixed with it.  It does not dissolve, it DOES NOT have HONEY in the mix.  On top<br />of their frauding the public, they make sure you cannot return it and get a refund.  They should be<br />reported for the fraudelent manner they are operating.<br /><br />I THREW  both bags in the trash."
B001ELL7HO,A2II3LHLN57SAX,J. M. HESS,3,4,1,2010-07-02,SEWAGE,BEWARE<br />I opened the bag and tried one. Had to spit it out - tasted like sewage. I smelled bag and the odor is horrible. I am wondering if these were in a flood. I would not recommend.
B000EUJK5W,A1O9PVTD86ZZS4,"Sean Chiang ""sc""",0,0,1,2008-09-17,Too much sugar!,"I should have look at the nutritional facts, but these bars are way too sweet to the point I couldn't finish the bar. Each bar has 31g of sugar and reminded me of a Butterfinger. I dont see how having 31g of suger makes this any healthier then a candy bar."
